Study,Title,Study_nr,PMID,Country studied,Language,Patient Group,Study_type,"Adulteonatal,_pediatric,_pregnant",Study_Population,Total_number_of_patients,"Age [years], median [iqr] or mean (sd)",Male,Female,imaging_reported,pathologic_findings,Pneumonia,GGO,Bilateral_pneumonia,Unilateral_pneumonia,Consolidation,GGO_with_consolidation,Local_patchy_shadowing,Bilateral_patchy_shadowing,Nodular_lesions,Air_bronchogram,Pleural_effusion,Reticulation/thickened_interlobular_septa,Interstitial_abnormalities,Crazy_paving_pattern,Subpleural_opacities,Bilateral_pulmonary_infiltration,Bronchiectasis,Thickened_pleura,Stripe_,Thickened_intralobular_septa,Vascular_thickening_,Bulla,Peribronchial_thickening,Focal_consolidation,Pulmonary_edema,Venous_congestion,Atelectasis
"Chan et al, 2020",A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster.,S6_adult,31986261,China,English,COVID-19,Case Series,Adult,Adult,5,50 [36.25-64.50],2,3,Yes,5,5,5,,,,,5,,,,,,,,,,,,,,,,,,,,
"Huang et al, 2020","Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",S43,31986264,China,English,COVID-19,Cohort Study,Adult,Adult,41,49 [41-58],30,11,Yes,40,40,,40,,,,,,,,,,,,,,,,,,,,,,,,
Ren et al. 2020,Identification of a novel coronavirus causing severe pneumonia in human - a descriptive study,S67,32004165,China,English,COVID-19,Case Series,Adult,Adult,5,52 [49-61],3,2,Yes,5,5,5,5,,4,,,,,,,,,,,,,,,,,,,,,,
"Holshue et al, 2020",First Case of 2019 Novel Coronavirus in the United States,S38,32004227,USA,English,COVID-19,Case Study,Adult,Adult,1,35,1,0,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020","Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study.",S11,32007143,China,English,COVID-19,Cohort Study,Adult,Adult,99,55.5 (13.1),67,32,Yes,99,99,14,74,25,,,,,,,,,,,,,,,,,,,,,,,
"Song et al, 2020",Emerging 2019 Novel Coronavirus (2019-nCoV) Pneumonia,S74,32027573,China,English,COVID-19,Cohort Study,Adult,Adult,51,49 (16),25,26,Yes,51,51,39,44,7,28,30,,,,,,,,,,,,,,,,,,,,,
"Fang et al, 2020",CT Manifestations of Two Cases of 2019 Novel Coronavirus (2019-nCoV) Pneumonia,S26,32031481,China,English,COVID-19,Case Series,Adult,Adult,2,38.5 [35.25-41.75],1,1,Yes,2,2,,,,2,,,,,,,,,,,,2,2,,,,,,,,,
"Chang et al, 2020","Epidemiologic and Clinical Characteristics of Novel Coronavirus Infections Involving 13 Patients Outside Wuhan, China.",S7,32031568,China,English,COVID-19,Cohort Study,Adult,Adult,13,34 [34-48],10,3,Yes,8,8,6,,,4,,,,,,,,,,,,,,,,,,,,,,
"Wang et al, 2020","Clinical Characteristics of 138 Hospitalized Patients with 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",S86,32031570,China,English,COVID-19,Cohort Study,Adult,Adult,138,56 [42 - 68],75,63,Yes,138,138,138,,,,,, ,,,,,,,,,,,,,,,,,,,
Shi et al. 2020,"Evolution of CT Manifestations in a Patient Recovered from 2019 Novel Coronavirus (2019-nCoV) Pneumonia in Wuhan, China",S71,32032497,China,English,COVID-19,Case Study,Adult,Adult,1,42,1,0,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
